;0
1100-1500-luku;12-16
1500-luku;16
1940-luku;20
1950-luku;20
1700-luku;18
1800-luku;19
1960-luku;20
1970-luku;20
1900-luku;20
1920-luku;20
1930-luku;20
1941-1944;20
1990-luku;20
1944;20
1980-luku;20
1939-1944;20
1939-1945;20
1600-luku;17
1918;20
1890-luku;19
1807;19
1941-1942;20
1939;20
1950-1990-luku;20
1939-1940;20
1945-1999;20
1999;20
1947-1972;20
2001;21
1941;20
1917;20
1941-1971;20
1942-1944;20
1924-1948;20
1100-luku;12
1200-luku;13
1940-1942;20
1943-1945;20
1942-1945;20
1850-luku;19
1980-2001;20-21
1950-1960-luku;20
1944-1945;20
1906-1908;20
1941-1945;20
1899-1900;19-20
1891-1903;19-20
1944-1953;20
1936;20
1877-1878;19
1940-1991;20
1917-1918;20
1941-1943;20
1863-1864;19
900-luku;10
922;10
1996-2000;20-21
1944-1956;20
1910-luku;20
1811;19
1952;20
1991;20
1943-1944;20
1957;20
1740-luku;18
1800-1809;19
1940;20
1945-;20
1809-1917;19-20
1880-luku;19
1790-luku;18
1810-luku;19
1914;20
1915;20
1907;20
1978-1983;20
1940-1945;20
2000-luku;21
1600-1945;17-20
1860-luku;19
1870-luku;19
1300-luku;14
2000-2003;21
1769-1770;18
1000-luku;11
1400-luku;15
1967-1969;20
1902;20
1920-1940-luku;20
1914-1918;20
1945-1954;20
1905;20
1828;19
1582-1916;16-20
1866-1977;19-20
1910-1940-luku;20
1944-1948;20
1880-1910-luku;19-20
1900-1917;20
1200-1800-luku;13-19
1808-1917;19-20
1950-1998;20
1910-1930-luku;20
300-luku;4
1940-1944;20
1930-1970-luku;20
1907-2007;20-21
852-1116;9-12
1938-1940;20
1878-1880;19
1799;18
1500-1850;16-19
900-1400-luku;10-15
1500-1900-luku;16-20
1936-1939;20
1945;20
1939-1943;20
1989;20
1918-1944;20
1950-2000-luku;20-21
1799-1801;18-19
1900-1921;20
1828-1918;19-20
1450-1700;15-18
1400-1550;15-16
1939-1989;20
1941-1975;20
1780-1980;18-20
1790-1808;18-19
1912;20
1968-1982;20
